,Proj,In,Out,Diff
0,Dev,,,
1,Test1,2022-11-16 15:57:31.245011,2022-11-16 16:08:41.268496,0 days 00:11:10.023485
2,Test2,2022-11-16 16:08:59.632042,2022-11-16 16:23:20.564753,0 days 00:14:20.932711
3,Test3,2022-11-16 16:23:54.590418,2022-11-16 16:35:20.996950,0 days 00:11:26.406532
4,NGG,2022-11-21 09:03:16.833343,2022-11-21 13:27:54.029518,0 days 04:24:37.196175
5,NGG,2022-11-21 13:33:25.422040,2022-11-21 13:37:12.073970,0 days 00:03:46.651930
6,NGG,2022-11-21 14:39:13.072678,2022-11-21 15:07:52.487166,0 days 00:28:39.414488
7,NGG,2022-11-21 15:22:12.506989,2022-11-21 15:22:27.024399,0 days 00:00:14.517410
8,IT,2022-11-21 15:22:30.696134,2022-11-21 15:32:30.365281,0 days 00:09:59.669147
9,NGG,2022-11-21 15:32:31.565816,2022-11-21 16:23:13.296759,0 days 00:50:41.730943
10,IT,2022-11-22 09:14:13.215503,2022-11-22 09:23:03.099326,0 days 00:08:49.883823
11,NGG,2022-11-22 09:23:07.681912,2022-11-22 09:34:25.836767,0 days 00:11:18.154855
12,IT,2022-11-22 09:34:29.928602,2022-11-22 13:01:59.011541,0 days 03:27:29.082939
13,NGG,2022-11-22 14:04:54.323457,2022-11-22 14:05:29.843322,0 days 00:00:35.519865
14,NGG,2022-11-22 14:05:31.723310,2022-11-22 14:05:33.521301,0 days 00:00:01.797991
15,NGG,2022-11-22 14:05:34.287900,2022-11-22 15:56:47.776815,0 days 01:51:13.488915
16,NGG,2022-11-23 10:18:03.400713,2022-11-23 12:22:32.164893,0 days 02:04:28.764180
17,NGG,2022-11-23 13:55:21.003315,2022-11-23 20:23:34.794915,0 days 06:28:13.791600
18,NGG,2022-11-23 20:23:38.426189,2022-11-23 20:23:39.475133,0 days 00:00:01.048944
19,NGG,2022-11-23 20:23:42.507143,2022-11-23 20:23:43.691124,0 days 00:00:01.183981
20,NGG,2022-11-23 20:25:11.314294,2022-11-23 20:25:11.994750,0 days 00:00:00.680456
21,NGG,2022-11-28 09:40:24.700044,2022-11-28 12:56:21.494877,0 days 03:15:56.794833
22,NGG,2022-11-28 14:42:05.543496,2022-11-28 17:41:47.099666,0 days 02:59:41.556170
23,NGG,2022-11-29 08:58:36.447936,2022-11-29 17:22:16.305129,0 days 08:23:39.857193
24,NGG,2022-11-29 17:36:16.163033,2022-11-29 17:36:23.468206,0 days 00:00:07.305173
25,NGG,2022-11-29 17:36:46.690916,2022-11-29 17:50:12.830651,0 days 00:13:26.139735
26,NGG,2022-11-29 17:51:56.230131,2022-11-29 18:01:03.067408,0 days 00:09:06.837277
27,NGG,2022-11-30 09:16:26.699518,2022-11-30 13:46:53.119863,0 days 04:30:26.420345
28,NGG,2022-11-30 14:35:50.759906,2022-11-30 17:48:43.786847,0 days 03:12:53.026941
29,NGG,2022-11-30 18:16:43.321636,2022-11-30 18:34:38.331801,0 days 00:17:55.010165
30,NGG,2022-12-01 08:51:28.132263,2022-12-01 10:20:50.522244,0 days 01:29:22.389981
31,NGG,2022-12-02 11:03:24.276037,2022-12-02 12:19:12.737384,0 days 01:15:48.461347
32,NGG,2022-12-04 08:41:01.175697,2022-12-04 13:13:43.818339,0 days 04:32:42.642642
33,NGG,2022-12-04 14:24:04.430373,,
